Pick,Player,Position,College/Team,NBA Team,Height,Weight
1,Zaccharie Risacher,SF,JL Bourg (France),Atlanta Hawks,6'9",204 lbs
2,Alex Sarr,C,Perth (Australia),Washington Wizards,7'0",224 lbs
3,Reed Sheppard,PG,Kentucky,Houston Rockets,6'2",181 lbs
4,Stephon Castle,SG,UConn,San Antonio Spurs,6'6",215 lbs
5,Ron Holland,SF,G League Ignite,Detroit Pistons,6'8",206 lbs
6,Tidjane Salaun,SF,Cholet (France),Charlotte Hornets,6'9",212 lbs
7,Donovan Clingan,C,UConn,Portland Trail Blazers,7'2",280 lbs
8,Rob Dillingham,PG,Kentucky,Minnesota Timberwolves,6'1",165 lbs
9,Zach Edey,C,Purdue,Memphis Grizzlies,7'4",300 lbs
10,Cody Williams,SF,Colorado,Utah Jazz,6'8",178 lbs
11,Matas Buzelis,PF,G League Ignite,Chicago Bulls,6'10",197 lbs
12,Nikola Topic,PG,Red Star (Serbia),Oklahoma City Thunder,6'6",201 lbs
13,Devin Carter,SG,Providence,Sacramento Kings,6'2",195 lbs
14,Carlton Carrington,PG,Pittsburgh,Washington Wizards,6'4",186 lbs
15,Kel'el Ware,C,Indiana,Miami Heat,7'0",230 lbs
16,Jared McCain,SG,Duke,Philadelphia 76ers,6'2",203 lbs
17,Dalton Knecht,SG,Tennessee,Los Angeles Lakers,6'6",213 lbs
18,Tristan da Silva,SF,Colorado,Orlando Magic,6'9",215 lbs
19,Ja'Kobe Walter,SG,Baylor,Toronto Raptors,6'5",197 lbs
20,Kyshawn George,SF,Miami,Washington Wizards,6'8",209 lbs